student_id,teacher_id,activity_id,direction_match,teacher_capacity_ratio,teacher_popularity,history_accept_rate,gpa_level,portfolio_score,student_priority,same_track,label
1220207777,101077,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,105041,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,103139,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,108017,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,121050,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,103242,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,103100,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,105689,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,114210,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,104984,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,102936,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,109571,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,123023,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,102071,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,105036,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,104098,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,188014,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,104053,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,101077,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,105041,68f4f54ff8d5de36c07600c3,0.35,1.0,0.6667,0.0,0.0,0.45,1,0,0
1220207777,103139,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,108017,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,121050,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,103242,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,103100,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,105689,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,114210,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,104984,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,102936,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,109571,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,123023,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,102071,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220207777,105036,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
